trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,orientation,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
36,1,1.0,87.89020908437669,88.3899815287441,88.3899815287441,88.3899815287441,88.68952899612486,-1.0,1,0.7030267659574747,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
37,1,1.0,89.12247800454497,89.62223889306188,89.62223889306188,89.62223889306188,89.92178013920784,1.0,1,0.7446475811302662,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
38,1,1.0,90.38802597671747,90.88784553296864,90.88784553296864,90.88784553296864,91.18737433291972,-1.0,1,0.7011721022427082,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
39,1,1.0,91.62025000713766,92.12004689686,92.12004689686,92.12004689686,92.41954636387527,1.0,1,0.6129015944898129,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
40,1,1.0,92.75262844003737,93.25241466239095,93.25241466239095,93.25241466239095,93.55189057439566,1.0,1,0.8858575522899628,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
41,1,1.0,94.16809125617146,94.66783347912133,94.66783347912133,94.66783347912133,94.96738672442734,1.0,1,0.9906386993825436,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
42,1,1.0,95.68335122987628,96.18319034017622,96.18319034017622,96.18319034017622,96.48281558603048,1.0,1,0.693498782813549,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
43,1,1.0,96.89895929023623,97.39892284572124,97.39892284572124,97.39892284572124,97.69828364625573,1.0,0,0.8905175440013409,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
44,1,2.0,98.31444566324353,98.81417455151677,98.81417455151677,98.81417455151677,99.11392290890217,2.0,0,1.5333488453179598,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
45,1,3.0,100.37931399233639,100.87911576963961,100.87911576963961,100.87911576963961,101.17862812615931,-3.0,1,1.2623604387044907,participantfinal,001,2023-09-06_03h06.02.262,staircasetutorial1,2023.1.3,60.07139159522243,
